subscriber_id,age,gender,subscription_tenure_months,region,payment_method,support_tickets_raised,satisfaction_score,promo_discount_pct,days_since_last_activity,monthly_spend_eur,churn,live_sports_subscriber,sports_events_watched_month,favourite_live_sport,live_event_spike_signup,stream_quality_preference,bets_placed_total,avg_bet_amount_eur,avg_betting_odds,betting_win_rate,total_stake_eur,total_gain_eur,total_ggr,favourite_sport,preferred_bet_type,betting_enabled,responsible_gambling_flag,betting_profile,game_genre_preference,gaming_playtime_hours_weekly,in_app_purchases_gaming,gaming_sessions_per_week,avg_gaming_session_mins,gaming_engagement_level,ott_gaming_app_used,acquisition_channel,acquisition_campaign_type,ad_spend_eur,ctr,conversion_rate,time_on_site_mins,loyalty_points,roas,used_free_trial,promo_discount_applied,avg_session_duration_mins,titles_watched_per_month,series_completion_rate,content_genre_preference,peak_viewing_hour,primary_device,num_devices_registered,download_feature_used,live_to_vod_ratio,subscription_plan,payment_failures,plan_change_history,data_source
SUB-00001,56.0,Male,54.0,LATAM,PayPal,0.0,9.0,6.42,319.0,62.11,0,Yes,19.0,Tennis,Yes,HD,22.0,35.29,5.8,0.32,776.3,688.01,88.29,Football,single,Yes,No,Regular,Action,3.326911320481104,1.0,16.0,63.0,Medium,Yes,Social Media,Retention,4763.087209,0.2643925686,0.02022579945,11.83682275,365.0,339.25,Yes,Yes,93.0,50.0,0.34,Drama,Late Night,Smart TV,5.0,No,0.71,Premium,0.0,No Change,OTT_PLATFORM
SUB-00002,69.0,Female,21.0,APAC,Debit Card,1.0,2.0,13.77,166.0,37.27,0,No,0.0,Not Applicable,No,SD,14.0,5.05,4.45,0.14,70.75,11.06,59.69,Football,multiple,Yes,No,Casual,Action,19.62646247850453,0.0,10.0,99.0,Medium,Yes,Social Media,Consideration,5820.990747,0.17807028,0.1644509182,8.436763497,2636.0,157.73,Yes,No,228.4,70.0,0.48,Thriller,Evening,Console,3.0,No,0.69,Premium,1.0,Upgraded,OTT_PLATFORM
SUB-00003,46.0,Female,49.0,APAC,PayPal,3.0,8.0,19.91,207.0,61.82,0,No,0.0,Not Applicable,No,4K,21.0,85.01,4.46,0.48,1785.25,2817.67,-1032.42,Football,single,Yes,No,Regular,Sports,23.32208579857633,0.0,11.0,17.0,Medium,Yes,Referral,Awareness,3293.605817,0.2269312006,0.02564219832,6.376953539,1419.0,156.9,No,Yes,177.0,47.0,0.3,Comedy,Late Night,Smart TV,6.0,No,0.31,Premium,2.0,Downgraded,OTT_PLATFORM
SUB-00004,32.0,Male,47.0,AMER,Debit Card,3.0,1.0,13.39,108.0,40.96,1,No,0.0,Not Applicable,No,4K,10.0,13.92,5.87,0.1,139.15,22.07,117.08,Football,single,Yes,No,Casual,Action,10.348791401534967,0.0,7.0,149.0,Medium,Yes,Referral,Conversion,2265.832629,0.01017247983,0.07455695112,6.480653078,2634.0,190.09,Yes,No,145.7,18.0,0.51,Reality,Morning,Desktop,6.0,No,0.74,Standard,0.0,Downgraded,OTT_PLATFORM
SUB-00005,60.0,Male,6.0,APAC,Credit Card,2.0,5.925,13.18,65.0,45.97,0,Yes,19.0,Tennis,No,HD,25.0,13.18,5.06,0.44,329.45,849.05,-519.6,Football,single,Yes,No,Regular,Simulation,6.238741796428113,0.0,10.0,127.0,Medium,Yes,PPC,Conversion,2102.996295,0.2752393909,0.1381746557,1.095897518,67.0,364.82,No,No,41.7,5.0,0.17,Comedy,Afternoon,Mobile,4.0,No,0.55,Premium,0.0,No Change,OTT_PLATFORM
SUB-00006,25.0,Female,48.0,APAC,PayPal,2.0,5.925,5.6,267.0,43.48,0,Yes,6.0,Boxing,Yes,4K,23.0,162.3,4.43,0.22,3733.0,2100.98,1632.02,Football,single,Yes,No,Regular,Strategy,3.8458676093275033,0.0,11.0,170.0,High,Yes,Social Media,Consideration,426.5421985,0.2480549636,0.03863579266,11.85794649,201.0,191.53,Yes,No,41.7,26.0,0.98,Reality,Evening,Smart TV,5.0,No,0.56,Premium,0.0,No Change,OTT_PLATFORM
SUB-00007,38.0,Female,49.0,APAC,Debit Card,2.0,5.0,7.09,353.0,48.9,0,Yes,11.0,Football,No,HD,16.0,10.18,3.84,0.44,162.8,215.65,-52.85,Football,single,Yes,No,Regular,Action,12.496477746473357,0.0,5.0,11.0,Low,No,PPC,Consideration,3914.015946,0.1240911582,0.1422584753,11.2775963,2061.0,64.18,No,Yes,18.6,52.0,0.11,Thriller,Evening,Smart TV,3.0,No,0.37,Basic,0.0,No Change,OTT_PLATFORM
SUB-00008,56.0,Female,3.0,APAC,Credit Card,0.0,1.0,12.7,185.0,29.09,0,No,0.0,Not Applicable,No,4K,14.0,34.07,3.71,0.43,476.95,490.21,-13.26,Football,single,Yes,No,Casual,Simulation,10.850420835012434,0.0,16.0,85.0,High,Yes,Social Media,Consideration,1602.874005,0.1666831443,0.01770366788,14.92501343,1608.0,72.41,Yes,Yes,208.6,47.0,0.93,Kids,Late Night,Mobile,6.0,No,0.12,Family,1.0,No Change,OTT_PLATFORM
SUB-00009,36.0,Female,10.0,LATAM,PayPal,3.0,1.0,19.78,224.0,31.56,0,No,0.0,Not Applicable,No,HD,22.0,169.88,2.17,0.55,3737.3,3704.6,32.7,Football,single,Yes,No,Regular,Sports,15.88324057060239,0.0,13.0,175.0,High,Yes,PPC,Awareness,3789.824167,0.09565784412,0.03095561966,3.081952919,3391.0,124.24,No,No,146.3,6.0,0.91,Drama,Evening,Mobile,5.0,No,0.22,Basic,2.0,No Change,OTT_PLATFORM
SUB-00010,44.0,Female,5.0,APAC,PayPal,2.0,6.0,18.15,153.0,43.79,0,No,0.0,Not Applicable,No,HD,17.0,4.6,3.83,0.41,78.25,71.35,6.9,Football,single,Yes,No,Regular,Strategy,16.716541893045036,0.0,4.0,53.0,Low,No,Referral,Consideration,9532.321001,0.1006013961,0.07317444678,11.37009713,4658.0,290.84,No,Yes,171.4,58.0,0.53,Drama,Afternoon,Mobile,2.0,No,0.77,Standard,0.0,Upgraded,OTT_PLATFORM
